country,year,month,Access to an ITN,ACT Given - Total,Anti-Malarial treatment,Anti-Malarial treatment among children under 5 yrs,Children <5 yrs who received LLIN,Children age 6�59 months tested positive for Malaria  accordi,Children under age 5 had a fever in the 2 weeks before the surv,Children under age 5 with a fever received ACT,Children with a fever had blood taken for testing,Closing Balance - Rapid Diagnostic Test (RDT),IPTp1 Coverage (institutional),IPTp2 Coverage (institutional),IPTp3 Coverage (institutional),IPTp>=4 Coverage (institutional),LLIN given – Total,MAL - Malaria cases confirmed (number),MAL - Malaria cases tested with microscopy,MAL - Malaria cases tested with RDT,MAL - Malaria deaths inpatient(Under 5),MAL - Malaria inpatient admissions,MAL - Non-malaria deaths inpatient,MAL - Non-malaria outpatient cases,MAL - Total reported malaria cases (confirmed + presumed),Number of malaria cases treated with artemisinin-based combinat,Number of malaria positive cases by microscopy,Number of malaria positive cases by rapid diagnostic test (RDT),Number of suspected malaria cases,Persons with Severe Malaria given recommended pre-referral trea,Persons with Severe Malaria treated with Artesunate injection,Persons with Severe Malaria treated with other pre referral tre,Severe Malaria cases seen,Severe Malaria Treatment,Treatment with Artemisinin-based Combination Therapy (ACT) amon,n_facilities,Children under 5 sleeping under insecticide-treated nets (ITNs),Children under 5 yr who slept under an ITN,[CONFIG] MAL - Reporting completeness - DTH (%),[CONFIG] MAL - Reporting completeness - IPD (%),% Confirmed Malaria (RDT or Microscopy),% Confirmed uncomplicated Malaria,Estimated malaria cases in 2021,Estimated malaria cases in 2022,Estimated malaria cases in 2023,Fever Testing Rate,Households using an improved sanitation facility,Households using Improved Water as Source of drinking water ,Households with at least one ITN,Literacy among women,Malaria diagnostic usage (Percentage of children under age 5 wi,Malaria prevalence according  to RDT  among children,MAL - Case fatality rate (malaria admissions),MAL - % of all-admissions/all outpatients,MAL - % of all-deaths/all admissions,MAL - % of malaria tested cases by RDT,MAL - % of suspected malaria cases tested,MAL - Percentage of malaria deaths,MAL - Percentage of malaria IPD,MAL - Percentage of malaria OPD cases,MAL - Slide positivity rate (microscopy),MAL - Test positivity rate (RDT),% of all Antenatal care clients receiving malaria IPT,% of Antenatal 1st Visits receiving IPT1,% of Antenatal 1st Visits receiving LLIN,% of Antimalaria with mobile authentication service,% of clinically diagnosed malaria given ACT,% of confirmed uncomplicated malaria given ACT,% of confirmed uncomplicated malaria given other antimalaria,% of Fever cases tested positive with Microscopy,% of Fever cases tested positive with RDT,% of Fever cases Tested with Microscopy,% of Fever cases Tested with RDT,% of Malaria cases clinically diagnosed,% of Persons Clinically diagnosed with Malaria treated with ACT,% of suspected malaria receiving parasitological test,% of Under 5 deaths attributable to Malaria,Ownership of at least one mosquito net,Ownership of insecticide-treated nets,Percentage of children age 6-59 months classified as having ana,Percentage of children who received ACT,Percentage of households owning at least one ITN,Percentage of households with at least one mosquito net,Percentage of malaria cases confirmed with laboratory diagnosti,Percentage of women age 15�49 who say there are ways to avoid,Percentage of women who took any IPT (SP/Fansidar),% Percentage who have seen or heard a malaria message in the pa,Percentage who received 2 or more doses,Percentage who received 3 or more doses of SP,Percentage who received one or more doses of SP/Fansidar,Percentage who received only 1 dose of SP,Percentage who received three or more doses of SP/Fansidar,Percentage who received two or more doses of SP/Fansidar,Percentage who state there are ways to avoid getting malaria,Percentage with a fever & tested for malaria,Persons with access to an insecticide treated mosquito net (ITN,Pregnant women attending antenatal care� at least once and re,Pregnant women sleeping under insecticide-treated nets (ITNs),Pregnant women who slept under an ITN,Reporting completeness - OPD (%),Sources of ITNs-MDC ,Test Positivity Rate(TPR) (Microscopy),Test Positivity Rate(TPR) (RDT),% U5 fever to OPD attendance,Under 5 mortality rate(Facility),% Under 5 receiving LLIN,Use of clean fuels and technologies for cooking,Use of ITNs,Use of ITNs by children under age 5,Use of ITNs by pregnant women,Vector Control — LLINs,temperature_mean_c,temperature_max_c,temperature_min_c,humidity_pct,rainfall_mm_day,wind_speed_ms,solar_kwh_m2_day
Nigeria,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46665271019577,,,,,84.89559910414333,77.9204292126426,63.656809282088474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.07169160264186,,,,,,,,,,,,
Nigeria,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.49417763157894,,,,,84.79934881949734,76.82973096926715,62.245982905982906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.61478203608587,,,,,,,,,,,,
Nigeria,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2136988998263,,,,,84.50687292358805,76.07405384466395,59.8643719611021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.84879592103542,,,,,,,,,,,,
Nigeria,2020,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.59656353330183,,,,,85.28584240313452,77.37312845103168,63.64387876218737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.52012051349227,,,,,,,,,,,,
Nigeria,2020,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.09796614451743,,,,,85.49206097560976,78.00957433352792,63.974784329244166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8054115707022,,,,,,,,,,,,
Nigeria,2020,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,246.67000000000002,13.33,0.0,0.0,0.0,21917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.67667246520874,,,,,86.02732102486813,80.34399588102879,63.98653008490217,,,82.22333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6298798433914,,,,,,,,,,,,
Nigeria,2020,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1503.33,200.0,0.0,0.0,0.0,21426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.44325354107649,,,,,86.47320220588234,81.70601594611995,67.70481957842087,,,103.19283018867925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.14821134421135,,,,,,,,,,,,
Nigeria,2020,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11037.61,11263.25,3266.38,0.0,0.0,0.0,22228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.20470540430719,,,,,86.8874148226203,82.55411827229683,68.54670925414364,,,102.59763837638376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.19854571519592,,,,,,,,,,,,
Nigeria,2020,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19655.760000000002,22473.66,6704.2,0.0,0.0,0.0,21758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.43369047619046,,,,,88.11524940617576,82.43696313364056,69.14014163372859,,,98.3503647158609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.30110665451232,,,,,,,,,,,,
Nigeria,2020,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25772.03,31321.629999999997,7918.19,0.0,0.0,0.0,21931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.20241135734072,,,,,86.36258122743682,82.29054959524042,65.357119944212,,,102.09402422611036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.05407187780773,,,,,,,,,,,,
