,pearson,spearman,abs_pearson,coverage
MAL - Malaria cases tested with RDT,0.8918129331263008,0.9683993633983276,0.8918129331263008,1.0
incidence_per_1000,0.8791169815758513,0.9608732500547568,0.8791169815758513,1.0
ACT Given - Total,0.8393752276880004,0.994287634844078,0.8393752276880004,1.0
MAL - Total reported malaria cases (confirmed + presumed),0.6365049000367808,0.9872782905155204,0.6365049000367808,1.0
MAL - Malaria cases tested with microscopy,0.37417911090610245,0.45522723503238327,0.37417911090610245,1.0
IPTp>=4 Coverage (institutional),0.2729893318162617,0.7030479642514177,0.2729893318162617,1.0
% Confirmed uncomplicated Malaria,0.2700004867878287,0.17841421896374413,0.2700004867878287,0.3536821705426357
LLIN given – Total,0.2622002145567363,0.639873734317743,0.2622002145567363,1.0
solar_kwh_m2_day,0.26167274791900874,0.36993515632232915,0.26167274791900874,0.7291666666666666
IPTp2 Coverage (institutional),0.2358198779570515,0.6448923571990139,0.2358198779570515,1.0
population,0.22698474844277053,0.23146461173579214,0.22698474844277053,1.0
IPTp3 Coverage (institutional),0.22557751482500502,0.6740082718664067,0.22557751482500502,1.0
humidity_pct,-0.2175101846697026,-0.34220437564633677,0.2175101846697026,0.75
MAL - Malaria deaths inpatient(Under 5),0.21106018680876504,0.3961381245893526,0.21106018680876504,1.0
Severe Malaria cases seen,0.1868554246750878,0.5208627846403023,0.1868554246750878,1.0
MAL - Malaria inpatient admissions,0.1868261182433292,0.5206930768217708,0.1868261182433292,1.0
state_population,0.18633767546297791,0.09447034869674431,0.18633767546297791,1.0
Fever Testing Rate,-0.18339788438684437,-0.3284075138629394,0.18339788438684437,0.35373600344530576
Persons with Severe Malaria treated with Artesunate injection,0.18320765946586484,0.41081336574751753,0.18320765946586484,1.0
temperature_max_c,0.17875406751006823,0.27868410658764414,0.17875406751006823,0.75
Percentage of malaria cases confirmed with laboratory diagnosti,0.17375336897062904,0.12871336073673864,0.17375336897062904,0.41583225667527995
MAL - Test positivity rate (RDT),0.1619813746861325,0.06096340754740314,0.1619813746861325,0.7886520241171404
% of Fever cases tested positive with RDT,0.16157302508610125,0.061264565965150626,0.16157302508610125,0.7886251076658053
MAL - Slide positivity rate (microscopy),0.15794568740722287,-0.21631873039073324,0.15794568740722287,0.48702627045650304
% of Fever cases tested positive with Microscopy,0.15789015366146394,-0.21623985952658448,0.15789015366146394,0.48713393626184326
MAL - Non-malaria deaths inpatient,0.15776972749117485,0.5268820413813573,0.15776972749117485,1.0
% Confirmed Malaria (RDT or Microscopy),0.14933907401186278,0.07228972134662273,0.14933907401186278,0.7888135228251507
Test Positivity Rate(TPR) (Microscopy),-0.1461879544630548,-0.2734358431587005,0.1461879544630548,0.48169681309216195
MAL - Non-malaria outpatient cases,0.14495797123343265,0.3162490539498042,0.14495797123343265,1.0
temperature_min_c,-0.14460905260742973,-0.16958395745225652,0.14460905260742973,0.75
n_facilities,0.13528988904215308,0.11478990213649201,0.13528988904215308,1.0
