ym,year,month,is_forecast,cases,population
24276,2023,1,False,1709254.0,217424024.99999997
24277,2023,2,False,1639215.0,217424024.99999997
24278,2023,3,False,1653149.0,217424024.99999997
24279,2023,4,False,1774351.0,217424024.99999997
24280,2023,5,False,1838450.0,217424024.99999997
24281,2023,6,False,1955800.0,217424024.99999997
24282,2023,7,False,2222259.0,217424024.99999997
24283,2023,8,False,2675321.0,217424024.99999997
24284,2023,9,False,2524614.0,217424024.99999997
24285,2023,10,False,2812605.0,217424024.99999997
24286,2023,11,False,2360428.0,217424024.99999997
24287,2023,12,False,2207695.0,217424024.99999997
24288,2024,1,False,2054962.0,222859625.62499997
24289,2024,2,False,2127114.0,222859625.62499997
24290,2024,3,False,2008410.0,222859625.62499997
24291,2024,4,False,2089709.0,222859625.62499997
24292,2024,5,False,2174573.0,222859625.62499997
24293,2024,6,False,2393781.0,222859625.62499997
24294,2024,7,False,2763909.0,222859625.62499997
24295,2024,8,False,3201530.0,222859625.62499997
24296,2024,9,False,3131344.0,222859625.62499997
24297,2024,10,False,3460954.0,222859625.62499997
24298,2024,11,False,2912634.0,222859625.62499997
24299,2024,12,False,2754600.0,222859625.62499997
24300,2025,1,False,2351888.0,228431116.26562494
24301,2025,2,False,2399913.0,228431116.26562494
24302,2025,3,False,2475153.0,228431116.26562494
24303,2025,4,False,2817705.0,228431116.26562494
24304,2025,5,False,2756118.0,228431116.26562494
24305,2025,6,False,3508321.0,228431116.26562494
24306,2025,7,False,3359278.0,228431116.26562494
24307,2025,8,False,3411209.0,228431116.26562494
24308,2025,9,False,3301789.0,228431116.26562494
24309,2025,10,False,3252042.0,228431116.26562494
24310,2025,11,False,2581021.0,228431116.26562494
24311,2025,12,False,2569054.0,228431116.26562494
24312,2026,1,False,2212112.0,234141894.17226553
24313,2026,2,False,2250264.0,234141894.17226553
24314,2026,3,False,2381389.0,234141894.17226553
24315,2026,4,True,2500580.717292529,234141894.17226553
24316,2026,5,True,2567286.378905589,234141894.17226553
24317,2026,6,True,2987103.0562691735,234141894.17226553
24318,2026,7,True,3125412.8848333587,234141894.17226553
24319,2026,8,True,3403500.428941202,234141894.17226553
24320,2026,9,True,3312400.9248822825,234141894.17226553
24321,2026,10,True,3486665.833831717,234141894.17226553
24322,2026,11,True,2980619.7775752777,234141894.17226553
24323,2026,12,True,2847651.9438298526,234141894.17226553
24324,2027,1,True,2394327.2814405435,239995441.52657214
24325,2027,2,True,2389352.2067561345,239995441.52657214
24326,2027,3,True,2419323.2570990827,239995441.52657214
24327,2027,4,True,2647825.9203579044,239995441.52657214
24328,2027,5,True,2692648.76435166,239995441.52657214
24329,2027,6,True,3153167.1985397153,239995441.52657214
24330,2027,7,True,3246434.4925270327,239995441.52657214
24331,2027,8,True,3509563.206320351,239995441.52657214
24332,2027,9,True,3417423.179740814,239995441.52657214
24333,2027,10,True,3584469.3693519062,239995441.52657214
24334,2027,11,True,3086410.9288361454,239995441.52657214
24335,2027,12,True,2951107.218041488,239995441.52657214
24336,2028,1,True,2460670.541549096,245995327.56473643
24337,2028,2,True,2455307.6467436785,245995327.56473643
24338,2028,3,True,2493004.99367029,245995327.56473643
24339,2028,4,True,2741095.5345331887,245995327.56473643
24340,2028,5,True,2779811.705292833,245995327.56473643
24341,2028,6,True,3265673.0829680804,245995327.56473643
24342,2028,7,True,3347256.6277363976,245995327.56473643
24343,2028,8,True,3594832.0929231765,245995327.56473643
24344,2028,9,True,3494265.30160609,245995327.56473643
24345,2028,10,True,3658278.5764735327,245995327.56473643
24346,2028,11,True,3158019.816855566,245995327.56473643
24347,2028,12,True,3020755.48366834,245995327.56473643
24348,2029,1,True,2505689.80227995,252145210.75385487
24349,2029,2,True,2509449.0383438296,252145210.75385487
24350,2029,3,True,2554442.937735783,252145210.75385487
24351,2029,4,True,2811157.9151586303,252145210.75385487
24352,2029,5,True,2853344.6968491906,252145210.75385487
24353,2029,6,True,3362342.38358877,252145210.75385487
24354,2029,7,True,3425615.448462823,252145210.75385487
24355,2029,8,True,3649349.483661906,252145210.75385487
24356,2029,9,True,3557009.796455164,252145210.75385487
24357,2029,10,True,3719007.682463935,252145210.75385487
24358,2029,11,True,3226794.7834087163,252145210.75385487
24359,2029,12,True,3078719.5499942303,252145210.75385487
24360,2030,1,True,2542469.2734894734,258448841.02270117
24361,2030,2,True,2548573.195729234,258448841.02270117
24362,2030,3,True,2607870.359038967,258448841.02270117
24363,2030,4,True,2863769.3167537632,258448841.02270117
24364,2030,5,True,2898817.7477942645,258448841.02270117
24365,2030,6,True,3421248.839928322,258448841.02270117
24366,2030,7,True,3492482.4541041213,258448841.02270117
24367,2030,8,True,3696501.32097471,258448841.02270117
24368,2030,9,True,3607176.691403159,258448841.02270117
24369,2030,10,True,3775133.8807951896,258448841.02270117
24370,2030,11,True,3279040.297268421,258448841.02270117
24371,2030,12,True,3130849.447552531,258448841.02270117
