state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Abia,Aba North,NG001001,18.68539623,5.10828476,7.34210126,55.0
Abia,Aba South,NG001002,43.29821492,5.08425145,7.34909169,53.0
Borno,Abadam,NG008001,3916.25182832,13.39477626,13.27446584,294.0
Federal Capital Territory,Abaji,NG015001,831.96001657,8.83960899,6.81854106,106.0
Akwa Ibom,Abak,NG003001,178.16627267,5.00440454,7.79893988,61.0
Ebonyi,Abakaliki,NG011001,463.37249077,6.25661359,8.24423529,51.0
Ogun,Abeokuta North,NG028001,768.45355298,7.24344819,3.17280773,157.0
Ogun,Abeokuta South,NG028002,56.30327854,7.15640586,3.36711725,88.0
Cross River,Abi,NG009001,267.93306602,5.88298543,8.02916214,16.0
Imo,Aboh-Mbaise,NG017001,176.202664,5.41889337,7.25912039,113.0
Rivers,Abua/Odual,NG033001,716.08233529,4.84693957,6.56003275,29.0
Federal Capital Territory,Abuja Municipal,NG015002,1722.75199671,8.88218392,7.41810324,380.0
Kogi,Adavi,NG023001,713.36348885,7.6844146,6.4667002,115.0
Benue,Ado,NG007001,1187.06260047,6.78012596,8.06136278,71.0
Ogun,Ado-Odo/Ota,NG028003,854.08711711,6.62967965,3.0799022,19.0
Ekiti,Ado Ekiti,NG013001,361.10623616,7.62738608,5.2517695,404.0
Oyo,Afijio,NG031001,331.14854671,7.74917117,3.85701186,267.0
Ebonyi,Afikpo North,NG011002,239.1334902,5.85840155,7.92297533,18.0
Ebonyi,Afikpo South,NG011003,377.04913815,5.82745909,7.78391415,66.0
Niger,Agaie,NG027001,1919.95910988,8.93361622,6.43043197,132.0
Benue,Agatu,NG007002,1047.66594818,7.87597626,7.8951085,85.0
Lagos,Agege,NG025001,11.47768808,6.62601125,3.31509549,47.0
Anambra,Aguata,NG004001,173.49768821,5.98251691,7.09285487,238.0
Niger,Agwara,NG027002,1471.63704529,10.73332971,4.53867261,202.0
Imo,Ahiazu-Mbaise,NG017002,113.89882677,5.56319953,7.26362692,156.0
Rivers,Ahoada East,NG033002,318.15296592,5.05207354,6.64173202,17.0
Rivers,Ahoada West,NG033003,440.40993381,5.04685692,6.51515872,15.0
Osun,Aiyedade,NG030001,762.43886155,7.32926948,4.33974947,202.0
