state_ocha,lga_ocha,adm2_pcode,pfpr
Abia,Aba North,NG001001,24.87666606903076
Abia,Aba South,NG001002,19.725193083286285
Borno,Abadam,NG008001,17.23741739988327
Federal Capital Territory,Abaji,NG015001,32.16574788093567
Akwa Ibom,Abak,NG003001,37.75787353515625
Ebonyi,Abakaliki,NG011001,28.01496386528015
Ogun,Abeokuta North,NG028001,33.59988331794739
Ogun,Abeokuta South,NG028002,19.19344961643219
Cross River,Abi,NG009001,24.867241084575653
Imo,Aboh-Mbaise,NG017001,33.517515659332275
Rivers,Abua/Odual,NG033001,29.850509762763977
Federal Capital Territory,Abuja Municipal,NG015002,27.816694974899292
Kogi,Adavi,NG023001,23.42832237482071
Benue,Ado,NG007001,40.127697587013245
Ogun,Ado-Odo/Ota,NG028003,20.84437757730484
Ekiti,Ado Ekiti,NG013001,24.55301284790039
Oyo,Afijio,NG031001,33.84663462638855
Ebonyi,Afikpo North,NG011002,28.781014680862427
Ebonyi,Afikpo South,NG011003,29.44248616695404
Niger,Agaie,NG027001,30.155184864997864
Benue,Agatu,NG007002,33.480751514434814
Lagos,Agege,NG025001,11.793427169322968
Anambra,Aguata,NG004001,27.724280953407288
Niger,Agwara,NG027002,27.101752161979675
Imo,Ahiazu-Mbaise,NG017002,36.00856363773346
Rivers,Ahoada East,NG033002,14.8948073387146
Rivers,Ahoada West,NG033003,18.10414046049118
Osun,Aiyedade,NG030001,47.94827997684479
Osun,Aiyedire,NG030002,26.770132780075073
Ekiti,Aiyekire (Gbonyin),NG013002,32.28500187397003
Kogi,Ajaokuta,NG023002,23.152904212474823
Lagos,Ajeromi-Ifelodun,NG025002,10.053972154855728
Kano,Ajingi,NG020001,25.960323214530945
Cross River,Akamkpa,NG009002,45.296692848205566
Oyo,Akinyele,NG031002,28.123703598976135
Gombe,Akko,NG016001,25.75334906578064
Edo,Akoko-Edo,NG012001,28.424200415611267
Ondo,Akoko North East,NG029001,33.68472754955292
Ondo,Akoko North West,NG029002,36.08477711677551
Ondo,Akoko South East,NG029003,25.91351866722107
Ondo,Akoko South West,NG029004,35.31171977519989
Cross River,Akpabuyo,NG009003,30.50791323184967
Rivers,Akuku Toru,NG033004,38.47834765911102
Ondo,Akure North,NG029005,30.581527948379517
Ondo,Akure South,NG029006,24.521583318710327
Nasarawa,Akwanga,NG026001,26.66584849357605
Kano,Albasu,NG020002,25.014811754226685
Kebbi,Aleiro,NG022001,34.47379469871521
Lagos,Alimosho,NG025003,15.198111534118652
Bauchi,Alkaleri,NG005001,32.69587457180023
Lagos,Amuwo-Odofin,NG025004,11.937326192855835
Anambra,Anambra East,NG004002,23.55109006166458
Anambra,Anambra West,NG004003,28.6653071641922
Anambra,Anaocha,NG004004,25.168555974960327
Rivers,Andoni,NG033005,39.20068144798279
Enugu,Aninri,NG014001,30.09839653968811
Delta,Aniocha North,NG010001,22.891762852668762
Delta,Aniocha South,NG010002,23.120903968811035
Zamfara,Anka,NG037001,33.42882990837097
Kogi,Ankpa,NG023003,32.403603196144104
Benue,Apa,NG007003,33.93968939781189
Lagos,Apapa,NG025005,9.518210589885712
Taraba,Ardo-Kola,NG035001,33.114221692085266
Kebbi,Arewa-Dandi,NG022002,23.553436994552612
Kebbi,Argungu,NG022003,25.92780590057373
Abia,Arochukwu,NG001003,32.49393403530121
Kwara,Asa,NG024001,31.71173930168152
Rivers,Asari-Toru,NG033006,31.826448440551758
Borno,Askira/Uba,NG008002,31.498530507087708
Osun,Atakumosa East,NG030003,39.65010643005371
Osun,Atakumosa West,NG030004,27.734145522117615
Oyo,Atiba,NG031003,29.345422983169556
Oyo,Atigbo,NG031004,38.156697154045105
Kebbi,Augie,NG022004,26.29002034664154
Jigawa,Auyo,NG018001,23.347699642181396
Nasarawa,Awe,NG026002,26.18212103843689
Enugu,Awgu,NG014002,22.505293786525726
Anambra,Awka North,NG004005,19.85209435224533
Anambra,Awka South,NG004006,15.389229357242584
Anambra,Ayamelum,NG004007,23.212046921253204
Jigawa,Babura,NG018002,26.962876319885254
Lagos,Badagry,NG025006,17.93069839477539
Yobe,Bade,NG036001,28.181976079940796
Kebbi,Bagudo,NG022005,37.21923530101776
Kano,Bagwai,NG020003,31.9746732711792
Cross River,Bakassi,NG009005,27.895823121070862
Katsina,Bakori,NG021001,29.3394535779953
Zamfara,Bakura,NG037002,39.641815423965454
Gombe,Balanga,NG016002,27.29542851448059
Taraba,Bali,NG035002,34.34508144855499
Borno,Bama,NG008003,21.84070497751236
Plateau,Barikin Ladi,NG032001,15.486422181129456
Kwara,Baruten,NG024002,33.94078314304352
Kogi,Bassa,NG023004,19.351093471050262
Plateau,Bassa,NG032002,23.06637167930603
Katsina,Batagarawa,NG021002,30.607309937477112
Katsina,Batsari,NG021003,29.428499937057495
Bauchi,Bauchi,NG005002,30.87378442287445
Katsina,Baure,NG021004,22.478291392326355
Borno,Bayo,NG008004,27.313733100891113
Kano,Bebeji,NG020004,24.10399168729782
Cross River,Bekwara,NG009006,35.73872447013855
Abia,Bende,NG001004,32.66063928604126
Cross River,Biase,NG009007,37.326279282569885
Kano,Bichi,NG020005,28.74748706817627
Niger,Bida,NG027003,20.875343680381775
Gombe,Billiri,NG016003,23.510712385177612
Katsina,Bindawa,NG021005,29.04803156852722
Sokoto,Binji,NG034001,23.1716126203537
Jigawa,Biriniwa,NG018003,29.069840908050537
Jigawa,Birni Kudu,NG018004,28.907480835914612
Kaduna,Birnin-Gwari,NG019001,29.746252298355103
Kebbi,Birnin Kebbi,NG022006,30.783390998840332
Zamfara,Birnin Magaji,NG037003,38.131165504455566
Borno,Biu,NG008005,31.324586272239685
Sokoto,Bodinga,NG034002,27.743446826934814
Bauchi,Bogoro,NG005003,22.75620549917221
